Conservation Unit,Biological Status,Run timing,Trend in spawner abundance (all available data),Trend in spawner abundance (last 3 generations)
"Middle Fraser River (Spring 5-2, 1.3)",Data Deficient/Poor,Data Deficient,Data Deficient,Data Deficient
